"page_title","obama_Jan20","trump_Jan25","trump_Jan31"
"2016 - 2017 Class of White House Fellows | whitehouse.gov",FALSE,TRUE,TRUE
"wh_live_topper_x2.png | whitehouse.gov",FALSE,TRUE,TRUE
"About the White House Internship Program | whitehouse.gov",FALSE,TRUE,TRUE
"About the Fellowship | whitehouse.gov",FALSE,TRUE,TRUE
"An America First Energy Plan | whitehouse.gov",FALSE,TRUE,TRUE
"America First Foreign Policy | whitehouse.gov",FALSE,TRUE,TRUE
"2017-2018 White House Fellows Application | whitehouse.gov",FALSE,TRUE,TRUE
"Apply Here | whitehouse.gov",FALSE,TRUE,TRUE
"From the Archives: President Reagan Designates Martin Luther King, Jr. Day a Federal Holiday | whitehouse.gov",FALSE,TRUE,TRUE
"The White House Newsroom | whitehouse.gov",FALSE,TRUE,TRUE
"The Blueprint for a Secure Energy Future: One-Year Progress Report | whitehouse.gov",FALSE,TRUE,TRUE
"Bringing Back Jobs And Growth | whitehouse.gov",FALSE,TRUE,TRUE
"The Cabinet | whitehouse.gov",FALSE,TRUE,TRUE
"The Clinton Bush Haiti Fund | whitehouse.gov",FALSE,TRUE,TRUE
"Get in Touch with The White House | whitehouse.gov",FALSE,TRUE,TRUE
"Contact the Internship Program | whitehouse.gov",FALSE,TRUE,TRUE
"Contact the White House Fellows Office | whitehouse.gov",FALSE,TRUE,TRUE
"Copyright Policy | whitehouse.gov",FALSE,TRUE,TRUE
"Executive Order Expediting Environmental Reviews and Approvals For High Priority Infrastructure Projects | whitehouse.gov",FALSE,TRUE,TRUE
"Executive Order Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal | whitehouse.gov",FALSE,TRUE,TRUE
"Frequently Asked Questions | whitehouse.gov",FALSE,TRUE,TRUE
"White House Fellows | whitehouse.gov",FALSE,TRUE,TRUE
"First and Second Families Participate in a National Day of Service | whitehouse.gov",FALSE,TRUE,TRUE
"First Lady Melania Trump | whitehouse.gov",FALSE,TRUE,TRUE
"Staff Salaries | whitehouse.gov",FALSE,TRUE,TRUE
"The Inaugural Address | whitehouse.gov",FALSE,TRUE,TRUE
"The Inauguration of the 45th President of the United States | whitehouse.gov",FALSE,TRUE,TRUE
"The White House Internship: A Public Service Leadership Program | whitehouse.gov",FALSE,TRUE,TRUE
"Mrs. Karen Pence | whitehouse.gov",FALSE,TRUE,TRUE
"Standing Up For Our Law Enforcement Community | whitehouse.gov",FALSE,TRUE,TRUE
"Live Events | whitehouse.gov",FALSE,TRUE,TRUE
"Making Medicare Stronger | whitehouse.gov",FALSE,TRUE,TRUE
"Making Our Military Strong Again | whitehouse.gov",FALSE,TRUE,TRUE
"Memorandum for the Heads of Executive Departments and Agencies | whitehouse.gov",FALSE,TRUE,TRUE
"Nominations Sent to the Senate | whitehouse.gov",FALSE,TRUE,TRUE
"Peace Corps Reflects the Diversity of America: A Story Celebrating Service | whitehouse.gov",FALSE,TRUE,TRUE
"President Donald J. Trump Intends to Nominate Heather Wilson as Secretary of the Air Force | whitehouse.gov",FALSE,TRUE,TRUE
"President Obama Announces $4 Billion Investment to Make Buildings More Energy Efficient | whitehouse.gov",FALSE,TRUE,TRUE
"President Obama Invites You to his Facebook Town Hall | whitehouse.gov",FALSE,TRUE,TRUE
"President Obama to participate in LinkedIn Town Hall in Mountain View, California on Monday, September 26th | whitehouse.gov",FALSE,TRUE,TRUE
"President Obama's Town Hall with LinkedIn: ""We are in this thing Together"" | whitehouse.gov",FALSE,TRUE,TRUE
"President Donald J. Trump | whitehouse.gov",FALSE,TRUE,TRUE
"President Trump Takes Action to Expedite Priority Enery and Infrastructure Projects | whitehouse.gov",FALSE,TRUE,FALSE
"President Trump Takes Action: Signs Series of Presidential Memoranda Dealing with Trade and Other Issues | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding Construction of American Pipelines | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding Construction of the Dakota Access Pipeline | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding Construction of the Keystone XL Pipeline | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding the Hiring Freeze | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding the Mexico City Policy | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Regarding Withdrawal of the United States from the Trans-Pacific Partnership Negotiations and Agreement | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Memorandum Streamlining Permitting and Reducing Regulatory Burdens for Domestic Manufacturing | whitehouse.gov",FALSE,TRUE,TRUE
"Presidential Proclamation--50th Anniversary of the Peace Corps | whitehouse.gov",FALSE,TRUE,TRUE
"Privacy Policy | whitehouse.gov",FALSE,TRUE,TRUE
"Selection Process & Calendar | whitehouse.gov",FALSE,TRUE,TRUE
"Readout of the President’s Call With Prime Minister Narendra Modi of India | whitehouse.gov",FALSE,TRUE,TRUE
"Readout of the President’s Call with Prime Minister Netanyahu of Israel | whitehouse.gov",FALSE,TRUE,TRUE
"Remarks by President Obama and President Clinton at Clinton Global Initiative | whitehouse.gov",FALSE,TRUE,TRUE
"Remarks by President Trump and Vice President Pence at CIA Headquarters | whitehouse.gov",FALSE,TRUE,TRUE
"Selection Process | whitehouse.gov",FALSE,TRUE,TRUE
"Signed Legislation | whitehouse.gov",FALSE,TRUE,TRUE
"Social Security 101: It’s There For You! | whitehouse.gov",FALSE,TRUE,TRUE
"Statement By The President On Cabinet Nominee Confirmations | whitehouse.gov",FALSE,TRUE,TRUE
"Statement by Press Secretary Sean Spicer | whitehouse.gov",FALSE,TRUE,TRUE
"Statement from the White House Press Office | whitehouse.gov",FALSE,TRUE,TRUE
"Tours & Events | whitehouse.gov",FALSE,TRUE,TRUE
"Trade Deals Working For All Americans | whitehouse.gov",FALSE,TRUE,FALSE
"Vetoed Legislation | whitehouse.gov",FALSE,TRUE,TRUE
"Vice President Mike Pence | whitehouse.gov",FALSE,TRUE,TRUE
"Evening Communications Briefing - January 27, 2017 | whitehouse.gov",FALSE,FALSE,TRUE
"Executive Order: Border Security and Immigration Enforcement Improvements | whitehouse.gov",FALSE,FALSE,TRUE
"Executive Order: ETHICS COMMITMENTS BY EXECUTIVE BRANCH APPOINTEES | whitehouse.gov",FALSE,FALSE,TRUE
"EXECUTIVE ORDER: PROTECTING THE NATION FROM FOREIGN TERRORIST ENTRY INTO THE UNITED STATES | whitehouse.gov",FALSE,FALSE,TRUE
"H. R. 7 – No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2017 | whitehouse.gov",FALSE,FALSE,TRUE
"Memorandum: Implementation of Regulatory Freeze | whitehouse.gov",FALSE,FALSE,TRUE
"Joint Statement on U.S.-Mexico Relations | whitehouse.gov",FALSE,FALSE,TRUE
"March for Life Remarks of Vice President Pence - As Prepared for Delivery | whitehouse.gov",FALSE,FALSE,TRUE
"Memorandum: Immediate Actions and Initial Guidance for Federal Civilian Hiring Freeze | whitehouse.gov",FALSE,FALSE,TRUE
"Presidential Memorandum Plan to Defeat the Islamic State of Iraq and Syria | whitehouse.gov",FALSE,FALSE,TRUE
"Praise for President Trump's Bold Action | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Announces Intent to Nominate Elaine Duke as Deputy Secretary of the Department of Homeland Security | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Announces White House Compliance Team | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Appoints Thomas Homan as Acting Assistant Secretary of Homeland Security (Director of ICE) | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Nominates Philip Bilden as Secretary of the Navy | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Statement Regarding Recent Executive Order Concerning Extreme Vetting | whitehouse.gov",FALSE,FALSE,TRUE
"President Donald J. Trump Will Continue to Enforce Executive Order Protecting the Rights of the LGBTQ Community in the Workplace | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump and Prime Minister May's Opening Remarks | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Announces Manufacturing Jobs Initiative | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Announces Supreme Court of the United States Nominee | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Approves Georgia Disaster Declaration | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Approves Mississippi Disaster Declaration | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Approves Oregon Disaster Declaration | whitehouse.gov",FALSE,FALSE,TRUE
"National School Choice Week 2017 Proclamation | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump Takes Action to Expedite Priority Energy and Infrastructure Projects | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump's First Week of Action | whitehouse.gov",FALSE,FALSE,TRUE
"President Trump's First Weekly Address | whitehouse.gov",FALSE,FALSE,TRUE
"Executive Order: Enhancing Public Safety in the Interior of the United States | whitehouse.gov",FALSE,FALSE,TRUE
"Presidential Executive Order on Reducing Regulation and Controlling Regulatory Costs | whitehouse.gov",FALSE,FALSE,TRUE
"Presidential Memorandum Organization of the National Security Council and the Homeland Security Council | whitehouse.gov",FALSE,FALSE,TRUE
"Presidential Memorandum on Rebuilding the U.S. Armed Forces | whitehouse.gov",FALSE,FALSE,TRUE
"Press Briefing with Press Secretary Sean Spicer | whitehouse.gov",FALSE,FALSE,TRUE
"Readout of the President's Call with Abu Dhabi Crown Prince Sheikh Muhammad bin Zayid Al Nuhayyan of the United Arab Emirates | whitehouse.gov",FALSE,FALSE,TRUE
"Readout of the President's Call with Acting President HWANG KYO-AHN OF THE REPUBLIC OF KOREA | whitehouse.gov",FALSE,FALSE,TRUE
"Readout of the President's Call with Australian Prime Minister Malcolm Turnbull | whitehouse.gov",FALSE,FALSE,TRUE
